,Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Unnamed: 5_level_0,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Expected,Expected,Expected,SCA,SCA,Passes,Passes,Passes,Passes,Carries,Carries,Take-Ons,Take-Ons
,Player,#,Nation,Pos,Age,Min,Gls,Ast,PK,PKatt,Sh,SoT,CrdY,CrdR,Touches,Tkl,Int,Blocks,xG,npxG,xAG,SCA,GCA,Cmp,Att,Cmp%,PrgP,Carries,PrgC,Att,Succ
0,Marcus Rashford,19.0,eng ENG,"FW,RW",20-169,90,0,0,0,0,4,2,0,0,61,1,0,1,0.2,0.2,0.0,4,0,33,46,71.7,3,36,3,3,1
1,Anthony Martial,11.0,fr FRA,LW,22-134,90,0,0,0,0,2,0,0,0,46,0,0,1,0.1,0.1,0.1,5,1,26,36,72.2,2,35,9,6,4
2,Jesse Lingard,14.0,eng ENG,RW,25-124,61,0,1,0,0,0,0,0,0,44,0,0,0,0.0,0.0,0.5,2,1,33,41,80.5,3,31,2,1,1
3,Romelu Lukaku,9.0,be BEL,FW,24-340,29,1,0,0,0,2,1,0,0,18,0,0,0,0.5,0.5,0.0,1,0,9,14,64.3,1,7,1,1,1
4,Paul Pogba,6.0,fr FRA,LM,25-034,79,0,1,0,0,1,0,0,0,67,1,0,1,0.0,0.0,0.3,4,1,46,57,80.7,9,44,6,4,2
5,Daley Blind,17.0,nl NED,LM,28-040,11,0,0,0,0,0,0,0,0,4,0,0,0,0.0,0.0,0.0,0,0,1,3,33.3,1,3,2,0,0
6,Ander Herrera,21.0,es ESP,CM,28-247,71,0,0,0,0,2,0,0,0,91,5,3,3,0.0,0.0,0.0,2,1,64,75,85.3,5,50,0,0,0
7,Nemanja Matić,31.0,rs SRB,CM,29-260,19,0,0,0,0,0,0,0,0,20,1,1,1,0.0,0.0,0.0,0,0,15,16,93.8,1,6,0,0,0
8,Marouane Fellaini,27.0,be BEL,RM,30-147,90,0,0,0,0,0,0,0,0,69,1,1,3,0.0,0.0,0.0,1,0,52,59,88.1,2,36,0,1,1
9,Luke Shaw,23.0,eng ENG,LB,22-280,90,0,0,0,0,1,0,0,0,62,4,1,2,0.0,0.0,0.1,1,0,37,49,75.5,7,28,3,0,0
10,Phil Jones,4.0,eng ENG,CB,26-056,90,0,0,0,0,0,0,0,0,68,3,5,3,0.0,0.0,0.0,1,0,47,53,88.7,1,45,0,0,0
11,Chris Smalling,12.0,eng ENG,CB,28-147,90,1,0,0,0,1,1,1,0,56,2,3,1,0.5,0.5,0.0,0,0,46,48,95.8,2,36,0,0,0
12,Matteo Darmian,36.0,it ITA,RB,28-137,90,0,0,0,0,0,0,0,0,72,1,2,0,0.0,0.0,0.0,1,0,57,65,87.7,3,33,2,0,0
13,David de Gea,1.0,es ESP,GK,27-162,90,0,0,0,0,0,0,0,0,37,0,0,0,0.0,0.0,0.0,1,0,25,36,69.4,0,18,0,0,0
14,14 Players,,,,,990,2,2,0,0,13,4,1,0,715,19,16,16,1.3,1.3,1.1,23,4,491,598,82.1,40,408,28,16,10
